SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1997,1997,PC,Percentage,0,Units,,,1.621216381,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1998,1998,PC,Percentage,0,Units,,,0.995942457,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1999,1999,PC,Percentage,0,Units,,,1.734842951,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2000,2000,PC,Percentage,0,Units,,,2.719439957,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2001,2001,PC,Percentage,0,Units,,,2.52512014,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2002,2002,PC,Percentage,0,Units,,,2.258394409,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2003,2003,PC,Percentage,0,Units,,,2.758563214,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2004,2004,PC,Percentage,0,Units,,,1.857258719,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2005,2005,PC,Percentage,0,Units,,,2.213552034,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2006,2006,PC,Percentage,0,Units,,,2.002025395,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2007,2007,PC,Percentage,0,Units,,,2.138383993,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2008,2008,PC,Percentage,0,Units,,,2.370270674,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2009,2009,PC,Percentage,0,Units,,,0.299466803,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2010,2010,PC,Percentage,0,Units,,,1.776871541,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2011,2011,PC,Percentage,0,Units,,,2.912135089,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2012,2012,PC,Percentage,0,Units,,,1.515678231,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2013,2013,PC,Percentage,0,Units,,,0.938291898,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2014,2014,PC,Percentage,0,Units,,,1.906635907,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2015,2015,PC,Percentage,0,Units,,,1.125241361,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2016,2016,PC,Percentage,0,Units,,,1.428759547,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,1.596884129,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,2.268225672,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,1.949269024,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,0.716999632,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,3.395193185,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2022,2022,PC,Percentage,0,Units,,,6.802801153,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,2023,2023,PC,Percentage,0,Units,,,3.879001598,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1993,1993,PC,Percentage,0,Units,,,20.81302614,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1994,1994,PC,Percentage,0,Units,,,10.03942422,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1995,1995,PC,Percentage,0,Units,,,8.990530564,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1996,1996,PC,Percentage,0,Units,,,8.758774729,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1997,1997,PC,Percentage,0,Units,,,8.596156667,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1998,1998,PC,Percentage,0,Units,,,10.69836553,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,1999,1999,PC,Percentage,0,Units,,,2.135448444,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2000,2000,PC,Percentage,0,Units,,,3.775388292,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2001,2001,PC,Percentage,0,Units,,,4.66267557,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2002,2002,PC,Percentage,0,Units,,,1.90298097,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2003,2003,PC,Percentage,0,Units,,,0.118739206,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2004,2004,PC,Percentage,0,Units,,,2.760107817,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2005,2005,PC,Percentage,0,Units,,,1.857097891,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2006,2006,PC,Percentage,0,Units,,,2.533992583,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2007,2007,PC,Percentage,0,Units,,,2.853124372,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2008,2008,PC,Percentage,0,Units,,,6.358663802,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2009,2009,PC,Percentage,0,Units,,,1.019377353,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2010,2010,PC,Percentage,0,Units,,,1.472727273,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2011,2011,PC,Percentage,0,Units,,,1.917219136,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2012,2012,PC,Percentage,0,Units,,,3.287623066,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2013,2013,PC,Percentage,0,Units,,,1.438297872,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2014,2014,PC,Percentage,0,Units,,,0.34398859,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2015,2015,PC,Percentage,0,Units,,,0.309364548,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2016,2016,PC,Percentage,0,Units,,,0.683504209,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,2.450533985,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,2.149494949,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,2.847875959,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,3.161295285,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,3.839844915,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2022,2022,PC,Percentage,0,Units,,,15.10016515,,
CPALTT01,Consumer prices: all items,CZE,Czechia,GP,Growth previous period,A,Annual,2023,2023,PC,Percentage,0,Units,,,10.66126014,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1993,1993,PC,Percentage,0,Units,,,1.257861635,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1994,1994,PC,Percentage,0,Units,,,1.992014197,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1995,1995,PC,Percentage,0,Units,,,2.083605202,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1996,1996,PC,Percentage,0,Units,,,2.126299642,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1997,1997,PC,Percentage,0,Units,,,2.182167146,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1998,1998,PC,Percentage,0,Units,,,1.845651286,,
